beta,bookValue,debtToEquity,dividendRate,dividendYield,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,grossMargins,heldPercentInsiders,heldPercentInstitutions,operatingMargins,payoutRatio,priceToBook,profitMargins,revenueGrowth,sharesOutstanding,trailingEps,PE,ROE,ROCE,log_return
0.39,305.521,11.128,2.0,0.0018,-0.298,1419096448.0,0.085930005,18.761,1.612,0.32789,0.5507,0.23878999,0.02961,0.048699997,3.6781433,0.029749999,0.087,23873400.0,20.5,54.7,7.6,10.7,0.2290686624882365
0.671,122.568,1.763,8.0,0.014199999,0.127,1134001536.0,0.088470004,15.809,1.399,0.15702,0.605,0.00161,0.076620005,0.1863,4.6178446,0.07433,0.154,35504800.0,26.82,21.5,22.3,29.5,0.6289630039421805
0.644,137.721,40.978,3.0,0.0055,0.055,1597173248.0,0.10123,21.387,2.165,0.53903997,0.77502996,0.016280001,0.08145001,0.187,3.9681678,0.05766,0.017,56716100.0,16.04,34.8,11.8,13.9,0.009097462
0.395,97.189,55.742,0.5,0.0009,0.008,786092992.0,0.09884,17.067,1.687,0.18239,0.68173,0.00321,0.0928,0.0291,5.7105227,0.04776,0.15,24229300.0,17.18,35.5,19.3,24.1,0.3403430900011805
0.609,96.212,91.924,0.3,0.0022,0.024,382580000.0,0.10002,10.327,1.033,0.36396998,0.61875,0.01214,0.06725,0.053200003,1.4109467,0.026099999,0.059,17690200.0,5.64,24.0,6.03,8.43,0.2596637215072546
1.002,353.856,15.376,8.5,0.0036,0.247,13563265024.0,0.12776,23.931,3.057,0.41336,0.76822,0.16471,0.08682,0.1366,6.666554,0.0679,0.153,140663008.0,51.32,53.2,15.7,21.1,0.2467385729138396
0.687,393.964,4.263,5.0,0.0038,0.184,1552860032.0,0.15654999,11.895,1.862,0.40325,0.71045,0.00067,0.120459996,0.082399994,3.2972558,0.094919994,0.12,15519700.0,60.65,24.3,16.0,20.7,0.003501765
-0.243,222.667,2.524,7.5,0.0065,1.264,767009728.0,0.122559994,19.547,2.396,0.26814,0.65236,0.058080003,0.11637,0.2025,5.1996927,0.07707,0.027,13020900.0,37.01,30.9,14.7,19.4,-0.073181844
0.757,323.434,0.365,8.0,0.0062,0.521,5695074816.0,0.11298,30.056,3.396,0.20823,0.58643,0.20606,0.09436,0.1456,4.009783,0.14585,0.022,152939008.0,48.03,35.3,14.2,18.7,0.2754956232107952
0.918,70.93,117.633,0.3,0.0023,-0.504,1154887936.0,0.11797,10.598,1.25,0.32014,0.54252,0.123100005,0.085939996,0.05,1.8639505,0.03002,-0.143,73118496.0,5.0,32.5,12.2,16.0,-0.200639768
1.138,69.766,7.481,4.0,0.0087,0.373,3105857536.0,0.08765,20.464,1.794,0.24261999,0.55916,0.14406,0.07603,0.2335,6.5648026,0.054840002,0.175,143644000.0,13.48,34.0,19.6,26.7,0.2934425416263559
0.668,338.067,33.762,3.5,0.0032,-0.605,1384455552.0,0.05567,24.914,1.387,0.28086,0.56247,0.011109999,0.04364,0.2373,3.2876618,0.029360002,0.127,28890400.0,25.3,43.1,10.4,9.56,0.3608938045327949
0.68,186.761,26.635,2.0,0.0047,-0.161,1924861312.0,0.12564999,10.388,1.305,0.33581,0.67810994,0.116160005,0.102690004,0.20950001,2.2809901,0.061750002,0.068,42930800.0,14.33,19.2,13.2,15.1,0.046722256
0.424,130.932,48.47,10.0,0.013300001,0.283,7281699840.0,0.07754,22.216,1.723,0.24325001,0.75504,0.11265001,0.0732,0.4689,5.7274003,0.041479997,-0.062,192260992.0,20.25,35.4,16.5,18.2,0.3870298656678503
1.177,58.917,0.738,2.0,0.0056,0.296,1220929024.0,0.18815,28.917,5.441,0.32377,0.66042,0.00137,0.17356001,0.1345,6.061069,0.14739999,0.384,106795000.0,8.91,61.3,21.2,26.9,0.7240325988499228
0.45,368.492,53.18,8.5,0.008,0.067,3033639168.0,0.084350005,12.503,1.055,0.27532,0.61537,0.00171,0.075780004,0.1592,2.8901577,0.03866,0.068,32738500.0,47.07,25.5,16.3,18.3,0.1233071826565632
0.784,26.013,64.05,2.25,0.0153,0.263,1239051776.0,0.12099,15.351,1.857,0.30125,0.69051003,0.08166,0.11655,0.4395,5.7082996,0.059949998,0.025,126365000.0,5.12,29.7,22.4,23.3,0.549925237
0.839,84.434,103.013,1.65,0.0032,-0.398,2723530496.0,0.11368,27.26,3.099,0.51664,0.77675,0.13502,0.062340003,0.1681,6.0283775,0.052410003,0.174,127574000.0,9.83,46.0,14.7,15.2,-0.076993831
1.089,107.409,22.479,1.5,0.0038,-0.568,2388385024.0,0.15239,20.725,3.158,0.54008996,0.53155,0.30648002,0.084750004,0.1515,3.724083,0.09104,-0.102,122627000.0,9.89,43.2,10.7,12.8,0.2407519455531543
0.825,53.134,62.512,0.1,0.0002,-0.023,1465234944.0,0.17989999,30.083,5.412,0.52386004,0.77364,0.02407,0.15519,0.0115,7.669289,0.10604,0.04,100278000.0,8.69,47.3,20.0,17.2,0.2968391527060658
0.247,129.095,15.032,1.0,0.002,0.467,1855774976.0,0.13375,23.939,3.202,0.45776,0.81198996,0.07848,0.13102001,0.074099995,3.8963554,0.08858,-0.014,91044096.0,13.49,33.8,10.6,13.4,0.2275699268867157
0.676,343.009,80.686,6.0,0.0026,0.115,637487488.0,0.20854001,35.108,7.322,0.70887,0.67212,0.00372,0.17656,0.3461,6.8278093,0.063319996,-0.062,8506860.0,23.02,68.6,8.97,9.26,0.3952254796988361
1.2,96.495,68.84,1.2,0.0035,-0.268,2732120064.0,0.1515,18.396,2.787,0.53058,0.69074994,0.11249,0.06441,0.2186,3.5234985,0.0376,0.048,123301000.0,5.47,61.8,5.96,7.78,0.1244908632880159
0.905,38.454,69.973,0.03,0.0001,1.289,1344047744.0,0.04596,26.15,1.202,0.090900004,0.52968,0.07427,0.043319996,0.0076,5.25303,0.01845,0.35,176111008.0,3.27,83.2,9.07,12.5,0.4519934282925124
1.382,248.165,64.025,5.0,0.0058,0.532,1521805056.0,0.13784,12.301,1.696,0.48759997,0.74480003,0.0212,0.097270004,0.0395,3.505732,0.10795999,-0.011,18778200.0,63.34,30.5,11.6,13.9,-0.004439368
0.899,128.687,75.473,1.0,0.0018,1.454,2088027264.0,0.1362,19.696,2.683,0.34855,0.72656995,0.00177,0.11707,0.119799994,4.2583947,0.035,0.225,64300500.0,8.33,68.8,5.21,10.9,0.5677793354302914
0.995,105.479,45.759,2.2,0.0061,0.056,5637341184.0,0.15005,13.992,2.099,0.57306,0.61144,0.11035,0.12753999,0.1158,3.4134758,0.09102,0.27,198054000.0,17.28,21.6,16.9,17.8,-0.033720121
1.073,297.468,16.239,7.0,0.0116,-0.167,1441990784.0,0.08846,14.968,1.324,0.4911,0.76094,0.13611001,0.07001,0.32880002,2.0338323,0.047059998,-0.022,36039300.0,21.31,33.6,10.0,11.1,-0.077963696
0.726,275.61,0.472,10.25,0.014500001,0.961,736249984.0,0.09806,19.0,1.863,0.31673,0.70889,0.00112,0.06931,0.3401,2.537644,0.09081,0.167,22621400.0,30.13,23.4,9.29,11.9,0.031821814
0.407,116.857,60.51,1.5,0.0044,-0.924,2324904192.0,0.12758,21.763,2.777,0.68611,0.66015,0.1753,0.04693,0.27809998,2.8967028,0.042090002,0.012,92150400.0,8.1,32.2,10.0,11.9,-0.001850784
0.442,121.732,8.28,1.0,0.0024,1.232,502175008.0,0.13430999,17.764,2.386,0.27693,0.80468005,0.01026,0.0921,0.0915,3.3672328,0.07157,0.059,24368800.0,10.94,28.1,11.3,15.6,0.034892333
0.437,342.435,8.614,5.0,0.0061,0.681,1863333504.0,0.09396,13.136,1.234,0.27105,0.76509005,0.09421,0.09802,0.0726,2.394615,0.06164,0.026,29097800.0,41.32,19.7,10.5,13.0,0.3818178872944155
1.483,179.484,1.807,3.5,0.0039,-0.216,3965805056.0,0.16034001,30.182,4.839,0.43558997,0.47018,0.14692001,0.13883,0.2804,5.025518,0.12217,-0.052,137238000.0,21.42,72.6,10.5,16.1,-0.127624434
0.834,274.507,2.033,5.0,0.0116,-0.346,2098599936.0,0.101280004,11.632,1.178,0.32921,0.62251997,0.01228,0.06826,0.2475,1.5613446,0.057210002,-0.108,58705500.0,20.2,21.2,8.68,12.3,0.1112324757951741
0.727,85.863,14.946,1.5,0.0024,0.351,2887294208.0,0.11852,24.482,2.902,0.37818,0.4614,0.20211,0.09474,0.0713,7.407149,0.085260004,0.184,122930000.0,17.53,44.1,20.8,27.4,0.1158590442742379
-0.226,71.629,3.1,0.75,0.0037,0.252,915675008.0,0.13093,24.846,3.253,0.41312,0.76305,0.01209,0.10882,0.1346,2.8438203,0.0917,0.094,115164000.0,5.57,35.8,7.62,10.7,-0.119962264
0.52,342.068,31.189,4.0,0.003,0.292,5284731904.0,0.08292,19.922,1.652,0.30027,0.63166,0.12014,0.06425,0.0853,3.9056563,0.040549997,0.111,73529504.0,35.16,38.2,11.3,15.7,0.2863872372812732
0.851,86.951,59.348,1.7,0.0029,0.918,8031149056.0,0.09715,12.862,1.25,0.34216,0.53443,0.0787,0.07222,0.0401,6.8078575,0.03892,0.3,171788000.0,18.71,31.5,19.7,26.7,0.5630320505994382
0.36,35.988,122.809,0.2,0.0006,0.324,1900130560.0,0.10022,36.201,3.628,0.27045,0.92140996,0.00041,0.0792,0.050100002,8.858508,0.04221,0.199,200520000.0,3.99,85.1,10.3,9.74,-0.028577879
0.57,349.351,22.412,4.0,0.0054,0.192,7352434688.0,0.14619,7.697,1.125,0.23708999,0.55714,0.14358,0.111870006,0.076799996,2.1031857,0.06856,0.133,75665504.0,45.57,16.3,13.2,18.4,0.1912115716947706
0.595,270.812,62.079,10.25,0.0124,-0.105,10499274752.0,0.15855,10.8,1.712,0.52593,0.48509997,0.30516002,0.09636,0.1459,3.0519326,0.07002,-0.096,117670000.0,39.41,19.2,14.5,19.6,0.0272420236019614
0.52,299.234,42.292,8.5,0.0168,-0.602,16321949696.0,0.24043,6.045,1.453,0.37303,0.60709,0.15334,0.13365,0.1557,1.6774497,0.14036,0.082,169402000.0,48.18,11.0,20.5,17.6,0.3627092552237272
1.288,32.314,14.043,0.6,0.0034,-0.157,2087943040.0,0.08996,21.619,1.945,0.27625,0.76719004,0.082770005,0.03165,0.1232,5.4403667,0.04441,0.158,254280000.0,4.06,43.4,12.9,16.6,0.047602412
0.538,44.841,2.582,0.25,0.0012,0.264,1559368192.0,0.07604,23.607,1.795,0.12401,0.52676,0.02804,0.07334,0.0154,4.7333913,0.05771,0.021,196540992.0,6.5,34.4,18.8,23.4,0.02843316
0.406,173.139,27.041,5.0,0.0068,-0.152,4124632576.0,0.10097,29.753,3.004,0.36154,0.56986,0.17082001,0.068969995,0.45450002,4.25092,0.042600002,-0.047,158054000.0,11.01,83.2,7.57,10.5,0.3026656894139492
0.622,109.375,26.973,1.0,0.0042,0.06,3575950080.0,0.128,8.42,1.078,0.38821998,0.49827,0.01002,0.06723,0.0068,2.1650286,0.06815,-0.071,128921000.0,14.77,59.7,6.39,9.25,0.3146443548026818
0.73,216.468,11.155,6.0,0.0034,0.022,5053064704.0,0.12227,27.045,3.307,0.50517,0.67011,0.10408,0.08769,0.1022,8.184581,0.084580004,0.146,79408896.0,44.08,56.0,17.7,22.4,0.4059878416480638
0.91,184.622,163.403,7.0,0.006,0.265,10608074752.0,0.17708,19.216,3.403,0.40737,0.42826,0.28513,0.17895001,0.1527,6.3640842,0.0794,0.06,145107008.0,32.7,43.3,14.2,18.3,0.3037790326659992
0.755,142.75,0.084,6.5,0.0046,0.5,2144894976.0,0.15822,41.68,6.595,0.45841998,0.43003,0.33078,0.11447,0.25059998,10.073555,0.104940005,0.136,64841300.0,21.91,62.2,16.1,21.7,0.6778350097456656
0.463,113.753,6.625,4.0,0.006,-0.252,1912232192.0,0.22945999,19.655,4.51,0.46233,0.7429,0.059159998,0.16350001,0.0847,5.8547907,0.17469,-0.152,61625200.0,23.65,28.1,25.1,31.0,-0.051128195
0.788,127.503,26.58,5.0,0.0053,0.003,12455199744.0,0.20558001,26.559,5.46,0.37974,0.70698,0.1768,0.16384001,0.1908,7.3449254,0.133,-0.001,341814016.0,23.59,52.9,16.3,18.8,0.1285841820722009
0.8,212.065,11.208,4.0,0.0139,-0.543,6714950144.0,0.12989001,10.38,1.348,0.24337,0.70616996,0.027320001,0.08093,0.047199998,1.3547733,0.09435,-0.152,228890000.0,21.2,13.5,12.5,15.9,-0.011970228
-0.115,250.806,19.732,2.5,0.003,0.208,1552715008.0,0.23877001,18.254,4.358,0.75984,0.44172,0.17058,0.12455,0.1507,3.3639545,0.09244,0.22,32289800.0,18.25,44.4,7.52,10.1,0.3559898328962694
0.355,77.568,0.2,3.5,0.0039,0.084,2993019904.0,0.12701,51.437,6.533,0.41922,0.69949996,0.12489,0.11966,0.27989998,11.641398,0.09064999,0.093,174039008.0,12.5,74.2,17.5,23.9,0.049528882
1.138,383.881,35.491,10.0,0.012,-0.148,3604940032.0,0.18736,10.154,1.902,0.2734,0.64976,0.13256,0.137,0.1821,2.1842706,0.1246,-0.071,43653100.0,54.9,15.3,15.5,16.6,-0.054801846
0.483,137.435,12.595,5.0,0.007900001,0.141,554369728.0,0.10538,17.15,1.807,0.39594,0.84174,0.00095,0.080520004,0.21100001,4.656747,0.06701,0.163,14872300.0,23.71,26.7,17.8,23.7,0.1057236191425428
0.677,295.828,0.18,1.8,0.0026,0.246,1016427776.0,0.17163,11.965,2.054,0.51919997,0.56069,0.00631,0.13245,0.0307,2.3155346,0.16542,0.086,20029700.0,48.9,14.0,16.8,22.3,0.1701216888106032
0.685,97.008,26.775,2.5,0.0062,0.114,10318993408.0,0.12706,14.618,1.857,0.32502,0.61879003,0.09233,0.10366,0.0855,4.1542964,0.07526,0.167,347252992.0,17.54,80.2,9.78,13.6,0.6881868530791531
1.029,115.85,79.931,5.5,0.0097,0.431,3949685760.0,0.13407,11.59,1.554,0.36183998,0.60575,0.15802,0.0774,0.2195,4.9028916,0.04744,0.197,68157696.0,20.49,40.3,14.6,14.8,0.2363366550815495
0.505,521.001,13.589,2.0,0.001,1.036,2115325056.0,0.090509996,29.175,2.641,0.31377,0.75577,0.0555,0.07308,0.1024,3.9712017,0.06282,0.028,30071700.0,48.72,41.6,8.67,11.4,0.5958875884142341
0.082,65.183,7.941,0.6,0.0022,-0.146,2624069888.0,0.09194,28.912,2.658,0.2451,0.70932996,0.045089997,0.06311,0.1185,4.2702856,0.04084,-0.021,275780992.0,4.23,46.9,9.36,12.1,0.1131077072066517
0.286,79.591,110.529,1.5,0.0107,-0.111,3669020160.0,0.100480005,6.466,0.65,0.38854998,0.40825,0.04922,0.1065,0.1149,1.7545952,0.04093,-0.15,118515000.0,13.07,11.1,18.2,16.9,0.1916495591028262
0.868,130.95,19.894,5.0,0.0062,-0.014,537225024.0,0.112229995,27.958,3.138,0.70052004,0.74692,0.06371,0.10606,0.22559999,6.1237116,0.1031,-0.022,22263400.0,22.17,36.8,17.7,20.5,0.3772859971813114
0.566,197.023,1.751,3.0,0.0049,0.225,1692945280.0,0.20767,14.616,3.035,0.42844,0.60341,0.031059999,0.19232,0.068,3.0935476,0.15862,0.061,43452600.0,29.4,21.5,14.6,18.8,0.214724347346209
0.93,83.98,27.022,1.4,0.0024,0.423,4949049856.0,0.10378,27.342,2.837,0.36141,0.67686,0.25715,0.07201,0.1263,6.8188853,0.051620003,0.11,235280992.0,10.29,66.6,12.2,14.5,0.3272133660018133
